"Buyer New Quote Template","Buyer New Quote Template"
"Send Reminder in X Days Before Quote Expiration, days","Send Reminder in X Days Before Quote Expiration, days"
"Email Template for Quote Reminder","Email Template for Quote Reminder"
"Quote Admin Change Template","Quote Admin Change Template"
"PDF Options","PDF Options"
"Attach Quote in PDF to Email Notifications","Attach Quote in PDF to Email Notifications"
"Custom Shipping","Custom Shipping"
Title,Title
"Add Quote","Add Quote"
"All Store Views","All Store Views"
Store,Store
Decline,Decline
"Shipping & Handling","Shipping & Handling"
"Quote Summary","Quote Summary"
"Thank you for your request!","Thank you for your request!"
"Success Page","Success Page"
"New quote","New quote"
"Email Address","Email Address"
"First Name","First Name"
"Last Name","Last Name"
"My Quote","My Quote"
"Note, any discounts applied will be discarded","Note, any discounts applied will be discarded"
